Song,Album,Count,Alb-NY,MntCAN,TorCAN,MSG-NY,WshDC,Philly,Bos-MA,Chi-IL,Col-OH,KC-MO,SP-MN,EdmCAN,VanCAN,Ing-CA,LsV-NV,Controlled Danger - San Fran,Amsterdam,Amsterdam,Denmrk,Sweden,Norway,Denmrk,London 1,London 2,Controlled Danger - Atlanta,Alb-NM,Denv-CO,George-WA,Portlnd-OR,Pasa Rb-CA,Anaheim-CA,Bud Light Dive Bar: LA,Sac - CA,Mntn. View-CA,Ingwd-CA,Phnx-AZ,SanA-TX,Dal-TX,Woodlands-TX,Nshv-TN,NOrl-LA,Atl-GA,Sunrs-FL,Tampa-FL,Chrlt-NC,Ral-NC,Cmdn-NJ,Homl-NJ,Hartfd-CT,Srycs-NY,Wanta-NY,Controlled Danger - NYC,Bristw-VA,Cinn-OH,DarCntr-NY,Tornto-ON,CFalls-OH,Clrkstn-MI,TPark-IL,Nbsvil-IL,
Your Body Is A Wonderland,RFS,24,,A,,,A,,,,A,,,,A,,A,,A,,,A,,,,,,,A,,,A,,,A,,,A,A,,A,,FB,A,,A,A,A,,A,,A,,,A,,A,,A,,A,,
Belief,C,21,FB,,FB,,FB,,FB,,FB,,FB,,FB,FB,,,,FB,,,FB,,,,,FB,,FB,,,FB,FB,,FB,,,,,FB,,FB,,,FB,,FB,,,,,,,FB,,,,FB,,,,
Emoji of a Wave,TSFE,21,,A,,A,A,,A,,,,,A,,A,,,A,,A,A,,,A,,,A,,,,,A,,A,,A,,A,,,,A,,A,,A,,,A,,A,,,,,,A,,,,,
Dear Marie,PV,21,FB,,,,,FB,FB,,FB,,,,FB,,,,,FB,,,FB,FB,,FB,A,FB,,,FB,FB,,FB,,,FB,,,FB,,FB,,,FB,,,,,,,FB,,,,FB,,,,,FB,,
In Your Atmosphere,WTLI,18,A,,A,,,,,,A,,A,,,A,,,,A,,,,A,A,,,,A,A,,,,,,,,,,A,,A,,,,A,,,A,,A,,,,,A,,,,,A,A,
I Don't Trust Myself (With Loving You),C,17,FB,,FB,,FB,FB,FB,FB,,,FB,FB,,,,,,FB,,,FB,,,,,,FB,,FB,,,,FB,,FB,,,,,,FB,,,,,FB,,,,,,,,,,,FB,,,,
If I Ever Get Around To Living,BR,17,,,,,,,,FB,FB,,,,,,FB,,FB,,FB,,FB,,FB,,,,FB,,FB,,,,,,FB,,FB,,FB,,,,,FB,,FB,,FB,,,FB,,,,,,,,FB,,
Stop This Train,C,17,,,,FB,,,,,,FB,,,,,A,,,FB,A,,A,A,,A,,A,,,,,A,,,,,FB,,,,,A,,,,FB,,,,FB,,FB,,,,,,FB,,FB,,
No Such Thing,RFS,17,,,,,,,,,,,,,FB,,,,,FB,,,,,,FB,A,,,,,,,,,,,,,,,,FB,,FB,,FB,,FB,FB,,FB,FB,,FB,FB,,FB,,FB,FB,FB,
Neon,RFS,16,,,A,,,,A,,,,A,,,,A,A,,,,A,A,,,A,A,,,,A,,,,,,A,,,,A,,,A,,,,,,A,,,,A,A,,,,,,,,
Something Like Olivia,BS,16,,FB,,FB,,,,,,,FB,,,,,,,,,,FB,,,,,,,,,,,,FB,,,,,,,,FB,FB,,,FB,,,FB,FB,,FB,,,,FB,FB,FB,FB,,FB,
Wait 'Til Tomorrow (Jimi Hendrix),TRY,16,T,,T,,,T,,,,,,,,,T,,,T,,,,,,,,T,,,T,,T,,,,T,,,,,,T,,,T,,T,,T,,,T,,T,,,,T,,,,
Edge of Desire,BS,13,FB,,,,,,,,,,,FB,,,,,,,,,,,,FB,,A,,,,,,,,,,FB,FB,,,FB,,,FB,,,FB,FB,,,,FB,,,FB,,,,,FB,,
"Walt Grace's Submarine Test, January 1967",BR,12,,,,A,,,,,,A,,,,A,,,A,,,A,,,,A,,,,A,,,,,,,,A,,,,A,,,,,A,,,,,,A,,,,,,,A,,,
Born & Raised,BR,12,,,,,FB,,,,,,,,,,,,FB,,,,,FB,,,,,A,,FB,FB,,,FB,,,,,FB,,,,FB,,,,,,FB,,,,,,,FB,,,,,FB,
Good Love Is On The Way,TRY,11,,,,,,,,,,,,,,,,,,,,,,,,T,,,T,,,,,,,T,,,,T,,,T,,T,,,T,,T,,,T,,,,,T,,,T,,
Bold As Love,C,9,,T,,T,T,,T,,T,,,T,,,,,,,T,,,T,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everyday I Have the Blues,TRY,9,,,,,,,,,,,,T,,,,,,,,,,,,,,,,T,,,,,T,T,,T,,,,,,,,,,,,,,,,,,T,T,T,,T,,,
Whiskey Whiskey Whiskey,BR,7,,A,,,,A,,A,,,,,,,,,,A,,,,,,A,,,,,,,,,,A,,,,,,,,,,,,,,,,,,A,,,,,,,,,
3x5,RFS,7,,,,,A,,,,,,,,A,,,,,,A,,,,,,,,,A,,,,A,,,,,,,,,,,A,,,,,,,,,,,,A,,,,,,
Wildfire,PV,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,FB,,,,,,FB,,,,,FB,,,FB,,,,,,,,FB,,,,,,,A,FB,,,
Friend of the Devil,COVER,6,,,,,,,,,,,,A,A,,,A,,,,,,A,,,,,,,,,,,A,,,A,,,,,,,,,,,,,,,,,,,,,,,,,
Waiting On The Day,PV,6,,,FB,,,FB,,,,,FB,,,,,,,,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FB,,,,FB,
Blues Run The Game,COVER,6,FB,,,,FB,,,,FB,,,,,,,,,,,FB,,FB,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Never On The Day You Leave,TSFE,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,A,A,A,
The Beautiful Ones (David Ryan Harris),COVER,5,,,,,,,,,,,,,,,,,,,,,,,,FB,,,,,FB,,FB,,FB,,,FB,,,,,,,,,,,,,,,,,,,,,,,,,
In Repair,C,4,FB,,FB,,,,,,FB,,,,,,,,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
